Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Price_USD,Sales_Volume
5 series,2016,asia,red,petrol,manual,3.5,98740.0,8300
i8,2013,north america,red,hybrid,automatic,1.6,79219.0,3428
5 series,2022,north america,blue,petrol,automatic,4.5,113265.0,6994
x3,2024,middle east,blue,petrol,automatic,1.7,60971.0,4047
7 series,2020,south america,black,diesel,manual,2.1,49898.0,3080
5 series,2017,middle east,silver,diesel,manual,1.9,42926.0,1232
i8,2022,europe,white,diesel,manual,1.8,55064.0,7949
m5,2014,asia,black,diesel,automatic,1.6,102778.0,632
x3,2016,south america,white,diesel,automatic,1.7,116482.0,8944
i8,2019,europe,white,electric,manual,3.0,96257.0,4411
3 series,2012,middle east,white,electric,manual,2.4,117995.0,500
i8,2016,north america,blue,hybrid,manual,1.9,74539.0,8252
7 series,2020,north america,silver,diesel,automatic,3.8,100015.0,8111
5 series,2020,africa,white,electric,manual,2.3,119486.0,4668
x1,2017,asia,black,electric,automatic,1.6,34078.0,7291
m3,2014,north america,silver,hybrid,manual,3.0,94997.0,7765
x5,2013,asia,blue,electric,manual,2.6,114844.0,5561
m5,2017,north america,red,diesel,automatic,2.6,81934.0,9755
5 series,2017,north america,silver,electric,manual,3.1,111326.0,4880
x5,2012,africa,blue,electric,manual,3.8,82677.0,7104
x3,2015,north america,red,diesel,automatic,3.7,88091.0,8635
x1,2014,africa,white,petrol,manual,4.8,62941.0,1113
m5,2011,europe,grey,electric,automatic,3.3,49507.0,9383
7 series,2017,north america,black,petrol,automatic,3.2,101791.0,7521
x5,2021,south america,red,diesel,manual,2.2,47527.0,6273
x3,2023,middle east,white,electric,automatic,4.1,85370.0,4645
m3,2015,asia,red,hybrid,manual,2.0,116902.0,8897
x1,2011,north america,black,hybrid,automatic,3.2,107465.0,6481
m5,2021,asia,red,hybrid,automatic,3.0,32076.0,9469
m3,2014,asia,white,electric,automatic,3.8,64049.0,1440
i8,2010,south america,black,hybrid,automatic,4.7,102215.0,5006
i8,2021,south america,silver,diesel,manual,4.8,64577.0,448
m5,2019,asia,red,diesel,manual,2.1,53277.0,4091
i8,2015,asia,white,hybrid,automatic,2.4,118788.0,3384
x1,2022,middle east,grey,hybrid,manual,4.3,116432.0,4926
m5,2021,south america,grey,petrol,automatic,3.3,108240.0,4561
x3,2018,middle east,white,petrol,manual,3.1,52717.0,8046
i8,2010,middle east,grey,petrol,automatic,4.0,37949.0,2278
m3,2020,africa,black,petrol,manual,3.6,86748.0,3929
x5,2020,middle east,white,hybrid,automatic,4.9,35401.0,7110
i3,2024,middle east,red,petrol,automatic,3.5,69578.0,173
m5,2019,south america,white,diesel,manual,3.1,37177.0,5946
x5,2021,africa,red,diesel,manual,3.4,60278.0,2913
x5,2021,middle east,black,petrol,automatic,4.3,96256.0,7627
x5,2024,south america,black,hybrid,manual,3.6,82675.0,2155
i8,2023,europe,blue,diesel,automatic,3.8,118317.0,7168
i3,2023,north america,silver,petrol,automatic,4.9,79039.0,8283
5 series,2024,asia,blue,electric,manual,3.7,86855.0,648
x6,2023,africa,white,hybrid,automatic,2.8,112542.0,7933
i3,2012,asia,white,hybrid,manual,3.9,93508.0,8438
x3,2021,asia,silver,hybrid,automatic,3.8,119692.0,6782
m3,2016,africa,black,hybrid,manual,1.5,49278.0,3153
i8,2013,middle east,white,petrol,manual,3.1,44269.0,5887
i3,2018,south america,red,petrol,manual,4.1,46127.0,608
i8,2012,middle east,red,diesel,automatic,3.2,100747.0,3291
m5,2014,south america,red,electric,automatic,4.2,96739.0,3754
x5,2012,middle east,black,petrol,manual,3.1,57537.0,4125
x6,2016,south america,silver,hybrid,automatic,4.9,46263.0,9762
m3,2014,europe,red,electric,manual,2.5,65464.0,9390
3 series,2018,africa,black,electric,manual,1.8,54762.0,3293
